Customer ID,Customer Name,Segment,Sales,Profit,Orders,Margin
SM-20320,Sean Miller,Home Office,25043.05,-1980.7393,5,-0.07909337321133009
TC-20980,Tamara Chand,Corporate,19052.218,8981.323900000001,5,0.4714056862040945
RB-19360,Raymond Buch,Consumer,15117.339,6976.0959,6,0.46146321783218597
TA-21385,Tom Ashbrook,Home Office,14595.62,4703.7883,4,0.32227396301082106
AB-10105,Adrian Barton,Consumer,14473.570999999998,5444.8055,10,0.3761895043040865
KL-16645,Ken Lonsdale,Consumer,14175.229000000001,806.855,12,0.05692006809907621
SC-20095,Sanjit Chand,Consumer,14142.333999999999,5757.411899999999,9,0.4071047890680562
HL-15040,Hunter Lopez,Consumer,12873.297999999999,5622.4292000000005,6,0.4367512660702798
SE-20110,Sanjit Engle,Consumer,12209.438000000002,2650.6769,11,0.21710064787584812
CC-12370,Christopher Conant,Consumer,12129.072000000002,2177.0493,5,0.1794901786385636
